number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
2.0,7,1,1995.0,1.0,51.0,3,26500000.0
3.0,1,2,2021.0,8.0,62.0,3,50000000.0
3.0,3,2,2022.0,3.0,67.0,3,66000000.0
2.0,1,2,2022.0,6.0,42.0,3,38000000.0
2.0,0,2,2021.0,1.0,57.1,3,33000000.0
4.0,3,2,2021.0,11.0,112.0,3,105000000.0
1.0,6,3,2020.0,4.0,51.0,3,27500000.0
2.0,7,1,1970.0,4.0,45.4,3,27000000.0
4.0,6,2,2013.0,3.0,165.0,3,85000000.0
1.0,1,1,1964.0,4.0,30.1,3,31200000.0
5.0,3,2,2013.0,5.0,215.0,3,200000000.0
1.0,3,1,1971.0,5.0,40.0,3,34500000.0
4.0,3,2,2021.0,9.0,107.0,3,85000000.0
3.0,6,2,2019.0,1.0,76.0,3,38000000.0
2.0,0,2,2014.0,9.0,70.0,3,33000000.0
3.0,0,2,2018.0,5.0,88.0,3,49500000.0
1.0,7,2,2023.0,3.0,43.0,0,20700000.0
3.0,6,2,2023.0,2.0,61.0,4,25000000.0
2.0,3,2,2023.0,3.0,55.1,2,38500000.0
1.0,2,2,2017.0,2.0,28.7,1,24500000.0
2.0,3,2,2016.0,3.0,45.0,3,28500000.0
2.0,5,2,2023.0,6.0,49.5,4,25300000.0
3.0,5,2,2020.0,2.0,83.0,3,47000000.0
3.0,0,2,2022.0,10.0,71.0,2,36000000.0
2.0,2,3,1982.0,3.0,58.0,3,36000000.0
1.0,4,2,2022.0,9.0,47.0,3,30500000.0
3.0,3,2,2023.0,3.0,140.0,0,100000000.0
3.0,2,3,1968.0,1.0,60.0,3,34900000.0
1.0,6,2,2017.0,1.0,39.0,3,23000000.0
1.0,2,2,2015.0,6.0,46.1,3,35499999.0
2.0,3,3,1966.0,3.0,44.6,3,25999999.0
2.0,1,2,2012.0,20.0,69.0,3,39000000.0
2.0,2,2,2013.0,3.0,75.0,3,59000000.0
4.0,2,3,1987.0,7.0,90.0,3,55000000.0
2.0,2,3,2001.0,5.0,63.2,3,39700000.0
1.0,1,2,2023.0,15.0,29.0,4,16500000.0
2.0,1,2,2014.0,1.0,98.6,3,69000000.0
4.0,3,2,2021.0,6.0,133.2,3,110000000.0
3.0,7,2,2021.0,6.0,93.5,3,64000000.0
3.0,3,2,2015.0,5.0,123.0,3,92000000.0
2.0,6,2,2019.0,9.0,60.0,3,27000000.0
1.0,0,1,1971.0,1.0,24.5,3,13000000.0
2.0,0,2,2023.0,2.0,51.33,3,36800000.0
1.0,6,2,2021.0,2.0,47.0,3,27000000.0
1.0,6,2,2022.0,2.0,36.0,3,21500000.0
2.0,2,2,2019.0,1.0,57.0,4,37342800.0
3.0,1,2,2012.0,7.0,116.0,1,75000000.0
2.0,6,2,2023.0,3.0,56.0,4,52900000.0
2.0,7,2,2020.0,8.0,53.8,3,32900000.0
1.0,6,2,2021.0,9.0,42.0,3,25900000.0
1.0,5,2,2019.0,5.0,43.0,3,26550000.0
3.0,2,3,1994.0,6.0,75.0,3,53000000.0
2.0,0,2,2023.0,6.0,66.6,4,27999990.0
3.0,4,2,2021.0,4.0,85.0,3,43000000.0
1.0,6,2,2023.0,7.0,32.2,3,21500000.0
3.0,1,2,2019.0,1.0,83.0,3,60600000.0
1.0,2,1,1972.0,2.0,24.0,3,15499000.0
3.0,1,2,2011.0,9.0,121.0,3,105000000.0
2.0,7,2,2016.0,13.0,66.5,3,33999999.0
